Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logPrice,logRentzestimate,Price_per_sqft,Total_Housing_Units_By_Zip,Homeowner_Vacancy_Rate_By_Zip,Percent_Occupied_Housing_Lacking_Complete_Plumbing_Facilities,Percent_Occupied_Housing_Lacking_Complete_Kitchen_Facilities,Percent_Occupied_Housing_No_Telephone_Service_Available,Typical_Home_Value_Mar21,Avg_Typical_Home_Value_Over_Past_10yrs,Avg_Yearly_Value_Growth_Rate
284895,280000,1650,2,3,1610,SINGLE_FAMILY,107,Zip_92372,12.55987597,12.54254488,7.408530567,173.9130435,2439,0,0,1.8,0,357184,241468.8182,9.08241122
420875,425000,2500,3,4,2150,SINGLE_FAMILY,101,Zip_93552,12.95009116,12.95984445,7.824046011,197.6744186,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
287757,283000,2100,2,3,1402,SINGLE_FAMILY,105,Zip_93535,12.56987165,12.55320218,7.649692624,201.8544936,23317,3.4,0.4,0.4,1.8,322726,204304.686,11.08074609
307350,289000,2200,2,3,1026,SINGLE_FAMILY,101,Zip_93552,12.63574244,12.57418197,7.696212639,281.6764133,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
475993,475000,2500,2,4,2418,SINGLE_FAMILY,101,Zip_93552,13.07315843,13.07107008,7.824046011,196.4433416,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
360860,360000,2100,2,3,1462,SINGLE_FAMILY,101,Zip_93552,12.79624535,12.79385931,7.649692624,246.2380301,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
350097,350000,2350,2,4,1688,MANUFACTURED,101,Zip_93543,12.76596554,12.76568843,7.762170607,207.3459716,3947,0,0,0,1.3,347234,223271.1901,10.9084024
404083,403000,2500,3,4,1904,SINGLE_FAMILY,101,Zip_93552,12.90937558,12.90669184,7.824046011,211.6596639,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
311134,310000,2200,2,3,1150,SINGLE_FAMILY,101,Zip_93543,12.64797897,12.64432758,7.696212639,269.5652174,3947,0,0,0,1.3,347234,223271.1901,10.9084024
350277,349000,2300,3,4,1561,SINGLE_FAMILY,101,Zip_93552,12.76647955,12.7628272,7.740664402,223.5746316,10587,2.7,0,0.5,1.7,380579,248900.157,10.22863903
