Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
544644,539000,2700,2,3,1479,SINGLE_FAMILY,120,Zip_91321,13.20788765,13.19747085,7.901007052,364.4354293
210562,202000,2900,2,3,1752,SINGLE_FAMILY,110,Zip_91351,12.25753543,12.21602298,7.972466016,115.2968037
547496,518121,2975,3,3,1600,TOWNHOUSE,111,Zip_91350,13.21311043,13.15796408,7.997999318,323.825625
471840,466500,2450,2,2,1135,TOWNHOUSE,120,Zip_91321,13.06439522,13.0530133,7.803843304,411.0132159
1169612,1156000,4500,5,5,3692,SINGLE_FAMILY,111,Zip_91350,13.97218263,13.96047633,8.411832676,313.1094258
631317,630000,3150,2,3,1319,SINGLE_FAMILY,110,Zip_91354,13.35556339,13.3534751,8.055157732,477.6345716
708258,790000,3400,3,4,2072,SINGLE_FAMILY,111,Zip_91350,13.47056371,13.57978822,8.131530711,381.2741313
574116,565000,2700,3,3,1433,TOWNHOUSE,110,Zip_91354,13.26058675,13.24458101,7.901007052,394.277739
562508,561000,2875,2,3,1163,SINGLE_FAMILY,111,Zip_91350,13.24016064,13.23747618,7.963807953,482.3731728
682488,680000,3275,3,3,2212,SINGLE_FAMILY,111,Zip_91350,13.43350022,13.42984808,8.094073148,307.4141049
554429,549922,2999,2,3,1637,SINGLE_FAMILY,110,Zip_91354,13.22569403,13.21753173,8.006034179,335.9328039
568059,175000,2735,3,3,1433,CONDO,110,Zip_91354,13.24998057,12.07254125,7.913886715,122.1214236
405053,400000,2495,2,3,1001,CONDO,110,Zip_91351,12.9117732,12.89921983,7.822044008,399.6003996
658398,650000,2950,2,3,1566,SINGLE_FAMILY,110,Zip_91351,13.39756489,13.38472764,7.989560449,415.0702427
921757,910000,3700,4,4,3230,SINGLE_FAMILY,111,Zip_91350,13.73403691,13.72119988,8.216088099,281.7337461
825997,815000,3450,3,4,3107,SINGLE_FAMILY,111,Zip_91350,13.62434642,13.61094339,8.14612951,262.3109108
395262,390000,2460,2,3,1001,TOWNHOUSE,110,Zip_91351,12.88730412,12.87390202,7.807916629,389.6103896
596095,575000,3200,3,3,1844,TOWNHOUSE,132,Zip_91355,13.29815533,13.26212532,8.070906089,311.8221258
